iter	Passed	Remaining
1409	4388	4949
1410	4391	4945
1411	4394	4942
1412	4398	4939
1413	4400	4936
1414	4403	4933
1415	4407	4930
1416	4410	4927
1417	4413	4924
1418	4417	4921
1419	4420	4918
1420	4423	4915
1421	4427	4912
1422	4430	4909
1423	4433	4906
1424	4436	4903
1425	4439	4900
1426	4442	4897
1427	4445	4894
1428	4448	4891
1429	4452	4887
1430	4455	4884
1431	4458	4881
1432	4461	4878
1433	4464	4875
1434	4467	4872
1435	4470	4868
1436	4473	4865
1437	4476	4862
1438	4479	4859
1439	4482	4856
1440	4485	4853
1441	4488	4849
1442	4491	4846
1443	4494	4843
1444	4497	4840
1445	4500	4836
1446	4503	4833
1447	4506	4830
1448	4509	4826
1449	4512	4823
1450	4515	4820
1451	4518	4817
1452	4521	4814
1453	4524	4810
1454	4527	4807
1455	4530	4804
1456	4533	4801
1457	4536	4798
1458	4539	4794
1459	4542	4791
1460	4545	4788
1461	4549	4785
1462	4552	4782
1463	4555	4779
1464	4559	4776
1465	4562	4773
1466	4565	4770
1467	4568	4767
1468	4571	4764
1469	4574	4761
1470	4577	4758
1471	4580	4755
1472	4584	4752
1473	4588	4750
1474	4591	4747
1475	4594	4743
1476	4597	4740
1477	4600	4737
1478	4603	4734
1479	4606	4731
1480	4609	4727
1481	4612	4724
1482	4615	4721
1483	4618	4718
1484	4621	4715
1485	4624	4711
1486	4627	4708
1487	4630	4705
1488	4633	4702
1489	4636	4698
1490	4639	4695
1491	4642	4692
1492	4645	4689
1493	4648	4685
1494	4651	4682
1495	4654	4679
1496	4657	4676
1497	4660	4672
1498	4663	4669
1499	4666	4666
1500	4669	4663
1501	4672	4660
1502	4675	4656
1503	4678	4653
1504	4681	4650
1505	4685	4647
1506	4688	4644
1507	4691	4641
1508	4694	4638
1509	4697	4635
1510	4700	4631
1511	4703	4628
1512	4706	4625
1513	4709	4622
1514	4712	4618
1515	4715	4615
1516	4718	4612
1517	4721	4609
1518	4724	4605
1519	4727	4602
1520	4730	4599
1521	4733	4596
1522	4736	4593
1523	4739	4590
1524	4742	4586
1525	4745	4583
1526	4748	4580
1527	4751	4577
1528	4754	4573
1529	4757	4570
1530	4760	4567
1531	4763	4564
1532	4766	4560
1533	4769	4557
1534	4771	4554
1535	4774	4551
1536	4777	4547
1537	4780	4544
1538	4783	4541
1539	4786	4538
1540	4789	4534
1541	4792	4531
1542	4795	4528
1543	4798	4525
1544	4801	4521
1545	4804	4518
1546	4807	4515
1547	4810	4512
1548	4814	4509
1549	4817	4506
1550	4820	4503
1551	4823	4500
1552	4826	4496
1553	4829	4493
1554	4832	4490
1555	4835	4487
1556	4838	4483
1557	4841	4480
1558	4844	4477
1559	4847	4474
1560	4850	4471
1561	4853	4467
1562	4856	4464
1563	4859	4461
1564	4862	4458
1565	4865	4454
1566	4868	4451
1567	4870	4448
1568	4874	4445
1569	4877	4442
1570	4880	4438
1571	4883	4435
1572	4885	4432
1573	4889	4429
1574	4891	4426
1575	4894	4422
1576	4897	4419
1577	4901	4416
1578	4903	4413
1579	4907	4410
1580	4910	4407
1581	4913	4403
1582	4916	4400
1583	4919	4397
1584	4922	4394
1585	4925	4391
